"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
2 1960 101 3 185 "A" 2
2 1962 91 1 204.58 "E" 47.87
1 1998 20 2 326.65 "C" 16.06
1 2012 66 2 59.59 "C" 12.56
2 1948 115 1 285 "F" 66
2 1983 127 2 239 "C" 13
1 2005 61 2 180 "B" 9
2 1988 91 1 89.55 "C" 20.95
1 2005 44 2 219.9 "B" 9.14
1 2006 69 2 150 "A" 5
2 2006 110 2 138.69 "A" 3.01
1 1974 90 1 219 "E" 51
2 1960 53 2 228 "C" 12
1 2015 119 1 46.63 "B" 10.91
1 2019 86 1 40.6 "C" 11.49
1 2018 63 1 60.6 "C" 13.89
2 1956 65 2 295 "F" 56
2 2016 148 2 38.27 "A" 2.03
1 1948 62 1 151 "D" 35
1 2018 59 1 48.35 "C" 11.31
2 1973 170 2 146 "D" 30
1 2017 63 1 59.6 "C" 13.95
2 2007 152 2 208.55 "C" 12.29
2 1900 150 1 144.93 "D" 23.52
1 2006 54 2 224 "B" 10
2 1979 143 3 228.16 "F" 68.45
1 1997 46 2 131.75 "B" 6.69
1 1978 81 1 177 "E" 41
1 1948 58 1 221 "E" 51
1 1999 33 2 329 "C" 15
1 2004 61 2 221.77 "B" 10.68
2 2004 96 2 183.54 "B" 7.94
1 1977 32 1 288.52 "F" 67.51
2 1960 58 2 355 "C" 19
1 2014 62 1 38.34 "B" 8.97
2 1947 236 1 83 "C" 19
2 2017 80 1 41.92 "C" 11.32
1 1947 36 2 171 "A" 5
1 2017 44 1 57.39 "C" 13.43
1 2019 57 1 64.28 "C" 14.72
1 1983 30 2 215 "B" 10
1 1991 21 2 395.7 "C" 19.65
2 1983 113 1 218.29 "E" 38.75
1 1995 24 2 188.52 "B" 6.34
1 1900 59 2 229.02 "B" 7.45
1 1947 34 2 274.09 "B" 8.92
1 2017 68 1 49.09 "C" 13.44
1 1985 34 2 293.03 "C" 13.63
2 1986 90 1 134.09 "D" 23.9
1 1947 66 1 192 "E" 45
2 2017 82 1 27.92 "C" 13.67
1 2001 44 2 222 "B" 9
2 1983 43 2 249 "B" 10
2 1965 47 2 244.23 "C" 11.24
1 1947 77 1 106 "D" 24
1 2020 63 1 53.75 "C" 12.58
2 1989 99 1 133 "D" 31
1 1947 25 1 273 "F" 63
1 1975 62 2 351 "C" 19
1 1974 63 2 268.57 "C" 13.46
1 1997 44 2 250.01 "C" 11.3
2 1970 100 1 199.7 "E" 46.73
2 1978 106 1 324 "F" 75
1 2015 64 1 83 "C" 19
1 2016 39 1 45.76 "B" 10.71
1 1947 35 2 149 "A" 4
2 1947 61 1 224.8 "E" 52.6
1 2006 52 2 158 "B" 7
1 1983 45 2 365 "C" 19
1 1980 86 1 181.33 "E" 42.43
1 1974 51 1 148.87 "C" 15.98
1 1978 109 2 299 "C" 17
1 2006 41 2 195.52 "B" 7.44
1 1948 66 1 186 "E" 43
1 1989 30 2 210 "B" 8
1 1989 48 2 226 "B" 10
1 1994 69 2 213.66 "B" 10.1
1 2008 58 2 134 "A" 5
2 2014 101 1 35.86 "B" 9.01
2 1974 96 1 167.78 "E" 45.97
1 2000 69 2 112 "A" 4
1 2006 55 2 125 "A" 5
1 2017 56 1 56.12 "C" 13.13
1 2013 20 2 218.56 "B" 7.12
2 1975 100 2 272.22 "E" 49.44
1 2005 63 2 211 "B" 9
2 2006 151 1 105.79 "D" 24.75
1 1947 130 2 272 "B" 8
2 1989 80 2 222 "B" 10
2 1988 86 2 386.94 "D" 22.89
1 1900 35 2 219.18 "B" 7.14
2 1962 62 2 576 "E" 36
2 1973 130 1 169 "E" 39
2 1948 100 1 340 "F" 64
1 2007 54 2 221.45 "B" 9.84
1 2015 44 1 42.41 "B" 9.92
1 1989 43 2 251 "B" 10
2 1947 100 2 168 "A" 5
2 1984 92 2 400.74 "D" 23.84
2 1980 128 2 218 "B" 7
1 1947 23 2 343 "C" 11
2 1974 68 1 328.83 "F" 76.95
2 1967 276 3 212.08 "E" 41.93
1 1983 88 1 131 "D" 29
2 2012 90 1 45.08 "B" 10.54
2 1974 63 1 278 "F" 65.05
1 1960 70 1 121.39 "A" 2.43
2 2003 160 2 177 "B" 9
1 1948 73 1 286 "F" 66
2 1947 96 3 154 "D" 26
1 1948 81 1 193 "E" 45
2 1968 87 1 288.02 "F" 67.4
1 2017 48 1 31.83 "B" 10.53
2 1978 123 2 285 "C" 13
1 1948 63 1 198 "E" 46
1 2015 60 1 33.08 "B" 7.74
1 1971 52 1 272.96 "F" 63.87
1 2006 71 2 163 "B" 6
1 2001 52 2 170 "B" 6
1 1990 30 2 322.86 "C" 15.24
2 1948 115 1 271 "F" 63
1 1989 70 1 154 "E" 36
1 2004 36 2 230.45 "B" 9.52
2 2000 67 1 123.28 "D" 28.85
2 1973 107 1 230 "E" 54
1 1989 39 2 170 "A" 5
1 2018 82 1 51.54 "C" 11.89
1 2006 45 2 221 "B" 9
1 1950 26 1 288.68 "F" 67.55
2 2004 119 1 107 "C" 19
1 1948 19 2 540 "D" 29
2 1948 81 2 377 "E" 43
2 1967 165 1 217 "E" 45
1 2007 54 2 212.94 "B" 9.05
1 2016 63 1 62.32 "C" 14.58
1 1980 79 2 224.15 "C" 11.59
1 1947 68 1 155 "E" 36
1 2006 31 2 207 "B" 7
1 2009 60 2 195.55 "B" 8.38
2 2001 125 3 89 "D" 26
2 1970 129 1 228 "E" 53
1 1983 74 2 315 "C" 17
2 1989 120 1 146 "D" 27
1 1989 19 2 230 "B" 8
2 2002 168 1 150.91 "D" 25.42
2 1970 225 2 217 "D" 28
1 1983 46 2 201.87 "B" 8.7
2 2016 91 1 42.88 "C" 11.89
1 1988 83 1 101 "D" 23
2 1989 80 2 223 "C" 11
1 2015 64 1 53.79 "C" 12.59
2 1991 113 2 255 "C" 12
1 2000 20 2 306.85 "C" 13.56
1 1974 40 1 126.95 "D" 29.71
2 1970 135 2 120.07 "A" 4.41
1 2000 45 2 124 "A" 4
2 1989 120 2 164 "B" 8
2 2004 98 2 227.02 "C" 11.45
2 2013 115 2 138.66 "B" 6.01
1 2019 60 1 58.72 "C" 13.74
1 1948 33 1 301 "F" 70
1 1988 31 2 276.98 "C" 11.61
2 2014 85 1 30.03 "B" 7.03
1 1948 54 1 161 "E" 37
1 2005 35 2 126 "A" 4
1 1976 59 2 488.23 "D" 28.54
1 1948 66 1 229 "E" 53
1 1948 54 1 194 "E" 45
2 2008 92 2 211 "C" 11
2 1998 115 2 139.34 "D" 28.36
2 2018 87 1 39.87 "B" 10.94
2 1960 93 2 285.92 "A" 5.35
2 1947 110 1 590 "G" 138
1 1989 58 2 217 "B" 9
2 2004 93 1 124.79 "D" 29.2
2 1947 176 1 132 "D" 30
1 1950 36 1 76.65 "C" 17.93
1 2017 45 2 58.56 "C" 13.7
1 2018 60 1 62.4 "C" 14.37
2 2001 120 2 195 "C" 11
2 1947 65 1 264.24 "F" 61.83
1 2005 54 2 198.73 "B" 8.24
1 1970 94 1 157 "E" 36
2 1947 110 1 192.72 "E" 45.09
2 1994 140 1 135 "D" 22
1 1947 202 1 135 "D" 31
1 1995 32 1 164.31 "E" 38.45
2 1988 90 2 285.45 "C" 16.35
1 2006 44 2 252 "C" 11
2 1989 101 1 129 "D" 30
2 2006 87 2 186 "B" 8
1 1980 79 1 277 "F" 63
1 1960 72 1 226.12 "E" 52.91
2 2001 57 2 183.06 "B" 6.35
1 2003 65 2 242.25 "C" 11.74
1 2018 74 1 45.7 "B" 10.69
1 2006 42 2 288.95 "C" 13.09
1 2001 44 2 120 "A" 4
1 1972 46 1 260 "F" 60
1 1989 32 2 154 "B" 6
